mean1,mean2,stddev1,stddev2,variance,contrast,energy,homogeniety,correlation,dissimilarity,ASM,class
154.835405859,100.9205256332,23.0722766094,43.4720160536,3094.5533034424,76.5290196529,0.0496981418,0.3294977723,0.9858946274,4.313488871,0.0024699053,nitrogen
107.50142726,115.1484853439,15.5017198108,31.2156365735,2336.9437385832,91.9983972741,0.0298831882,0.356123467,0.985742991,4.1224507824,0.0008930049,nitrogen
158.3199327454,113.6162760259,19.9381453917,43.2895876428,3441.0529305515,348.95251219,0.0395222762,0.3093054605,0.9686551197,7.4679326045,0.0015620103,nitrogen
123.76459167,127.9259583738,26.570341246,30.749347352,2434.9680056801,180.8959584406,0.0224221717,0.1987057267,0.9814320405,7.7534553427,0.0005027538,nitrogen
130.2443820896,116.2001074627,14.0709487525,24.1101071787,3236.8297341928,149.6236054198,0.0372234794,0.3558107914,0.9899678259,4.5972661741,0.0013855874,nitrogen
136.9595604396,104.6964346764,29.2841926795,45.8271555991,2253.4223242478,57.0903186275,0.06403253,0.4016900896,0.9799509966,3.3743382353,0.0041001649,nitrogen
149.4682638889,106.0014583333,29.3410530436,46.3389246606,3655.0455117186,72.6069211994,0.0591274731,0.4134653992,0.9929487318,3.8409867503,0.0034960581,nitrogen
145.5265456989,104.7595206093,25.4108460873,45.4684103677,3341.6686387341,415.1236338798,0.0383424002,0.1912840127,0.942579323,10.2543260474,0.0014701397,nitrogen
159.2847841253,108.6539803116,18.7764300827,31.368447974,2166.4795589675,372.4752506266,0.0274429206,0.1527699485,0.8931133891,11.0003132832,0.0007531139,nitrogen
139.4553654024,105.8561517114,29.2935891928,45.4208264086,2454.2606589251,803.3002104279,0.0493541406,0.1178202203,0.8262700091,18.072246902,0.0024358312,potassium
144.4595687332,98.5401934359,26.5936977486,37.9203462081,2232.357870417,1352.4674669868,0.0309643227,0.1038002423,0.6634264538,22.3696678671,0.0009587893,potassium
79.4001611722,125.9912465483,17.0283278646,29.6659464479,3036.4542350977,103.8616281332,0.2364348795,0.5147887585,0.9889532192,4.7660804169,0.0559014522,potassium
